workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,utterance_type,error
8,condition1,artichoke_big.jpg,contrast_control,Click on the microscope,.loc2,.loc3,.loc4,.loc1,good,"['loc1', 'loc1']","[794, 1953]",artichoke_small.jpg,microscope_big.jpg,plastichouse_big.jpg,microscope_small.jpg,210,filler90,filler,3,unmodified,
8,condition1,notebook_open.jpg,semantic_control,Click on the burrito,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2']","[613, 1368]",notebook_closed.jpg,burrito_big.jpg,seesaw_big.jpg,burrito_small.jpg,276,filler156,filler,4,unmodified,
8,condition1,sewingmachine_big.jpg,contrast_control,Click on the nest,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3']","[441, 1438]",sewingmachine_small.jpg,nest_big.jpg,victrola_big.jpg,nest_small.jpg,206,filler86,filler,5,unmodified,
8,condition1,kettle_silver.jpg,semantic_control,Click on the bowtie,.loc1,.loc4,.loc2,.loc3,good,"['loc2', 'loc3']","[624, 2654]",kettle_gold.jpg,bowtie_small.jpg,pomegranate_small.jpg,bowtie_big.jpg,277,filler157,filler,6,unmodified,
8,condition1,cigarette_big.jpg,semantic_contrast,Click on the open coffin,.loc1,.loc2,.loc4,.loc3,good,"['loc1', 'loc3', 'loc3']","[653, 1806, 2178]",braidedloaf_small.jpg,fruitcake.jpg,coffin_closed.jpg,coffin_open.jpg,140,filler20,filler,7,modified,
8,condition1,laptop_big.jpg,no_contrast,Click on the big starfish,.loc1,.loc4,.loc3,.loc2,good,"['loc2', 'loc1', 'loc2']","[762, 1445, 2371]",toyoctopus_small.jpg,bottle_small.jpg,bottle_small.jpg,starfish_big.jpg,35,test35,test,8,modified,
10,condition1,cougar_big.jpg,contrast_control,Click on the pizza,.loc3,.loc2,.loc1,.loc4,good,"['loc1', 'loc4']","[1518, 3019]",cougar_small.jpg,pizza_big.jpg,blackspaceship_big.jpg,pizza_small.jpg,188,filler68,filler,3,unmodified,
10,condition1,gumballmachine_big.jpg,no_contrast,Click on the discoball,.loc4,.loc2,.loc1,.loc3,good,"['loc2', 'loc3']","[958, 2203]",chowchow_small.jpg,discoball_big.jpg,beetle_big.jpg,discoball_small.jpg,87,train47,train,4,unmodified,
10,condition1,icecreambar_big.jpg,contrast_control,Click on the shovel,.loc1,.loc3,.loc2,.loc4,good,"['loc1', 'loc4']","[855, 2661]",icecreambar_small.jpg,shovel_big.jpg,veggieplatter_big.jpg,shovel_small.jpg,186,filler66,filler,5,unmodified,
10,condition1,garbage_yellow.jpg,semantic_control,Click on the bathtub,.loc1,.loc4,.loc2,.loc3,good,"['loc2', 'loc3']","[763, 1876]",garbage_blue.jpg,bathtub_small.jpg,huntingvest_small.jpg,bathtub_big.jpg,245,filler125,filler,6,unmodified,
10,condition1,accordion_big.jpg,no_contrast,Click on the big kayak,.loc1,.loc2,.loc3,.loc4,good,"['loc2', 'loc1', 'loc4']","[857, 1690, 3015]",microscope_small.jpg,bird_small.jpg,bird_small.jpg,kayak_big.jpg,30,test30,test,7,modified,
10,condition1,pants_big.jpg,no_contrast,Click on the popcorn,.loc2,.loc1,.loc3,.loc4,good,"['loc4', 'loc4']","[536, 1454]",firepants_small.jpg,popcorn_big.jpg,pool_big.jpg,popcorn_small.jpg,115,train75,train,8,unmodified,
10,condition1,coconut_big.jpg,no_contrast,Click on the toy,.loc4,.loc2,.loc3,.loc1,good,"['loc4', 'loc1']","[545, 1776]",stingray_small.jpg,toy_small.jpg,camel_small.jpg,toy_big.jpg,106,train66,train,9,unmodified,
10,condition1,beaver_big.jpg,contrast,Click on the small airplane,.loc4,.loc2,.loc3,.loc1,good,"['loc1', 'loc3', 'loc1']","[646, 1884, 2880]",kangaroo_small.jpg,crab_big.jpg,airplane_big.jpg,airplane_small.jpg,58,train18,train,10,modified,
10,condition1,tractor_big.jpg,contrast_control,Click on the beermug,.loc3,.loc2,.loc1,.loc4,good,"['loc1', 'loc4']","[475, 1533]",tractor_small.jpg,beermug_small.jpg,conch_small.jpg,beermug_big.jpg,227,filler107,filler,11,unmodified,
10,condition1,cigarette_big.jpg,semantic_contrast,Click on the open coffin,.loc1,.loc2,.loc3,.loc4,good,"['loc2', 'loc4', 'loc4']","[560, 2181, 2578]",braidedloaf_small.jpg,fruitcake.jpg,coffin_closed.jpg,coffin_open.jpg,140,filler20,filler,12,modified,
10,condition1,gong_big.jpg,contrast_control,Click on the microphone,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3']","[519, 1805]",gong_small.jpg,microphone_big.jpg,brochette_big.jpg,microphone_small.jpg,220,filler100,filler,13,unmodified,
10,condition1,puppy_big.jpg,contrast,Click on the small boat,.loc2,.loc4,.loc1,.loc3,good,"['loc1', 'loc3', 'loc3']","[770, 1897, 2287]",lighthouse_small.jpg,usbstick_big.jpg,boat_big.jpg,boat_small.jpg,74,train34,train,14,modified,
10,condition1,broccoli_big.jpg,contrast_control,Click on the hippo,.loc4,.loc3,.loc2,.loc1,good,"['loc1', 'loc1']","[545, 1409]",broccoli_small.jpg,hippo_small.jpg,firepants_small.jpg,hippo_big.jpg,237,filler117,filler,15,unmodified,
10,condition1,kimono_big.jpg,semantic_contrast,Click on the fountain pen,.loc4,.loc3,.loc1,.loc2,good,"['loc1', 'loc2', 'loc2']","[739, 2217, 2607]",bench_small.jpg,mousewheel.jpg,pen_marker.jpg,pen_fountain.jpg,151,filler31,filler,16,modified,
10,condition1,bone_big.jpg,no_contrast,Click on the small pencil,.loc4,.loc1,.loc3,.loc2,good,"['loc2', 'loc3', 'loc2']","[551, 1563, 2841]",screwdriver_small.jpg,corn_big.jpg,corn_big.jpg,pencil_small.jpg,23,test23,test,17,modified,
10,condition1,tweezers_big.jpg,semantic_contrast,Click on the green mixer,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3', 'loc3']","[349, 1190, 1681]",skirt_small.jpg,spiderweb.jpg,mixer_red.jpg,mixer_green.jpg,172,filler52,filler,18,modified,
10,condition1,tricycle_plastic.jpg,semantic_control,Click on the wagon,.loc2,.loc4,.loc3,.loc1,good,"['loc1', 'loc1']","[723, 2086]",tricycle_red.jpg,wagon_big.jpg,turnip_big.jpg,wagon_small.jpg,272,filler152,filler,19,unmodified,
10,condition1,handcuffs_big.jpg,semantic_contrast,Click on the whole lemon,.loc3,.loc4,.loc1,.loc2,good,"['loc2', 'loc2', 'loc2']","[801, 1821, 2218]",shelf_small.jpg,skydive.jpg,lemon_half.jpg,lemon_whole.jpg,170,filler50,filler,20,modified,
10,condition1,blackboard_big.jpg,contrast,Click on the big jeep,.loc3,.loc2,.loc4,.loc1,good,"['loc2', 'loc1', 'loc1']","[499, 1245, 1665]",candyapple_small.jpg,snowboard_small.jpg,jeep_small.jpg,jeep_big.jpg,63,train23,train,21,modified,
10,condition1,flower_lily.jpg,semantic_control,Click on the stingray,.loc1,.loc2,.loc4,.loc3,good,"['loc1', 'loc3']","[414, 1969]",flower_dahlia.jpg,stingray_big.jpg,castanets_big.jpg,stingray_small.jpg,286,filler166,filler,22,unmodified,
10,condition1,spicerack_rectangle.jpg,semantic_control,Click on the snowflake,.loc3,.loc4,.loc1,.loc2,good,"['loc1', 'loc2']","[639, 1738]",spicerack_shelves.jpg,snowflake_big.jpg,brusselsprout_big.jpg,snowflake_small.jpg,258,filler138,filler,23,unmodified,
10,condition1,frenchfries_big.jpg,contrast,Click on the big flute,.loc3,.loc2,.loc1,.loc4,good,"['loc2', 'loc4', 'loc4']","[450, 1501, 2505]",xylophone_small.jpg,toolbelt_small.jpg,flute_small.jpg,flute_big.jpg,55,train15,train,24,modified,
10,condition1,rollerblades_big.jpg,contrast_control,Click on the doll,.loc2,.loc3,.loc4,.loc1,good,"['loc2', 'loc1']","[560, 1479]",rollerblades_small.jpg,doll_big.jpg,ring_big.jpg,doll_small.jpg,232,filler112,filler,25,unmodified,
10,condition1,mailbox_farm.jpg,semantic_control,Click on the axe,.loc4,.loc1,.loc2,.loc3,good,"['loc1', 'loc3']","[567, 1690]",mailbox_green.jpg,axe_big.jpg,turkey_big.jpg,axe_small.jpg,244,filler124,filler,26,unmodified,
10,condition1,lightbulb_big.jpg,contrast_control,Click on the brain,.loc2,.loc4,.loc1,.loc3,good,"['loc1', 'loc3']","[605, 1687]",lightbulb_small.jpg,brain_big.jpg,candycanes_big.jpg,brain_small.jpg,222,filler102,filler,27,unmodified,
10,condition1,pooltable_big.jpg,contrast,Click on the small banjo,.loc3,.loc2,.loc1,.loc4,good,"['loc2', 'loc4', 'loc4']","[1192, 2430, 3093]",crib_small.jpg,dropper_big.jpg,banjo_big.jpg,banjo_small.jpg,68,train28,train,28,modified,
10,condition1,croissant_big.jpg,contrast_control,Click on the soap,.loc4,.loc2,.loc1,.loc3,good,"['loc4', 'loc3']","[661, 2335]",croissant_small.jpg,soap_small.jpg,sportsbag_small.jpg,soap_big.jpg,189,filler69,filler,29,unmodified,
10,condition1,teepee_big.jpg,contrast,Click on the big hammock,.loc4,.loc3,.loc2,.loc1,good,"['loc3', 'loc1', 'loc1']","[684, 1687, 2567]",bowlofoatmeal_small.jpg,pagoda_small.jpg,hammock_small.jpg,hammock_big.jpg,79,train39,train,30,modified,
10,condition1,sportsbasket_big.jpg,semantic_contrast,Click on the cocktail umbrella,.loc2,.loc1,.loc3,.loc4,good,"['loc1', 'loc4', 'loc4']","[1143, 3815, 4251]",corndog_small.jpg,potofgold.jpg,umbrella_rain.jpg,umbrella_cocktail.jpg,159,filler39,filler,31,modified,
10,condition1,wrench_big.jpg,semantic_contrast,Click on the open lock,.loc2,.loc3,.loc1,.loc4,good,"['loc2', 'loc4', 'loc4']","[815, 2365, 2739]",jumprope_small.jpg,speakers.jpg,lock_closed.jpg,lock_open.jpg,171,filler51,filler,32,modified,
10,condition1,pinata_big.jpg,semantic_contrast,Click on the wood hanger,.loc2,.loc1,.loc4,.loc3,good,"['loc2', 'loc3', 'loc3']","[669, 2700, 3152]",congadrum_small.jpg,bishop.jpg,hanger_plastic.jpg,hanger_wood.jpg,121,filler1,filler,33,modified,
10,condition1,hourglass_big.jpg,contrast_control,Click on the bucket,.loc4,.loc3,.loc1,.loc2,good,"['loc3', 'loc2']","[482, 1354]",hourglass_small.jpg,bucket_big.jpg,ladybug_big.jpg,bucket_small.jpg,196,filler76,filler,34,unmodified,
10,condition1,register_new.jpg,semantic_control,Click on the origami,.loc3,.loc4,.loc1,.loc2,good,"['loc2', 'loc2']","[476, 5294]",register_old.jpg,origami_small.jpg,meat_small.jpg,origami_big.jpg,263,filler143,filler,35,unmodified,
10,condition1,sushi_salmon.jpg,semantic_control,Click on the keyboard,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2']","[497, 1275]",sushi_nigiri.jpg,keyboard_small.jpg,kitchentimer_small.jpg,keyboard_big.jpg,253,filler133,filler,36,unmodified,
10,condition1,fishingpole_big.jpg,contrast,Click on the small saw,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2', 'loc2']","[500, 1714, 2431]",dart_small.jpg,potatochips_big.jpg,saw_big.jpg,saw_small.jpg,50,train10,train,37,modified,
10,condition1,candle_big.jpg,contrast_control,Click on the baseballglove,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3']","[475, 2023]",candle_small.jpg,baseballglove_big.jpg,africanmask_big.jpg,baseballglove_small.jpg,212,filler92,filler,38,unmodified,
10,condition1,bootie_big.jpg,semantic_contrast,Click on the red wine,.loc2,.loc1,.loc3,.loc4,good,"['loc1', 'loc4', 'loc4']","[764, 1566, 1970]",jar_small.jpg,cockerspaniel.jpg,wine_white.jpg,wine_red.jpg,128,filler8,filler,39,modified,
10,condition1,bait_big.jpg,semantic_contrast,Click on the round chocolatecandy,.loc3,.loc2,.loc4,.loc1,good,"['loc2', 'loc1', 'loc1']","[592, 1276, 1690]",kitchenisland_small.jpg,film.jpg,chocolatecandy_square.jpg,chocolatecandy_round.jpg,132,filler12,filler,40,modified,
10,condition1,stove_big.jpg,no_contrast,Click on the small tree,.loc4,.loc1,.loc3,.loc2,good,"['loc1', 'loc2', 'loc2']","[520, 1439, 2007]",fridge_small.jpg,ball_big.jpg,ball_big.jpg,tree_small.jpg,34,test34,test,41,modified,
10,condition1,crutches_big.jpg,semantic_contrast,Click on the round tupperware,.loc4,.loc1,.loc3,.loc2,good,"['loc2', 'loc2', 'loc2']","[412, 1848, 2312]",powder_small.jpg,rockingchair.jpg,tupperware_rectangular.jpg,tupperware_round.jpg,162,filler42,filler,42,modified,
10,condition1,barberchair_big.jpg,semantic_contrast,Click on the pink eraser,.loc2,.loc3,.loc1,.loc4,good,"['loc2', 'loc4', 'loc4']","[592, 1714, 2228]",thimble_small.jpg,streetlamp.jpg,eraser_redandblue.jpg,eraser_pink.jpg,174,filler54,filler,43,modified,
10,condition1,butternutsquash_big.jpg,semantic_contrast,Click on the heart candy,.loc1,.loc3,.loc2,.loc4,good,"['loc4', 'loc4', 'loc4']","[527, 1905, 2303]",leopard_small.jpg,frame.jpg,candy_orange.jpg,candy_heart.jpg,138,filler18,filler,44,modified,
10,condition1,oars_big.jpg,no_contrast,Click on the sardines,.loc1,.loc4,.loc2,.loc3,good,"['loc1', 'loc3']","[893, 1953]",couch_small.jpg,sardines_small.jpg,football_small.jpg,sardines_big.jpg,120,train80,train,45,unmodified,
10,condition1,cucumber_big.jpg,contrast,Click on the big bat,.loc4,.loc2,.loc3,.loc1,good,"['loc3', 'loc1', 'loc1']","[467, 2202, 3411]",sewingmachine_big.jpg,paintcan_small.jpg,bat_small.jpg,bat_big.jpg,69,train29,train,46,modified,
10,condition1,bathtub_big.jpg,contrast,Click on the big mushroom,.loc1,.loc4,.loc2,.loc3,good,"['loc1', 'loc2', 'loc3']","[419, 1275, 1936]",sushi_small.jpg,teeth_small.jpg,mushroom_small.jpg,mushroom_big.jpg,65,train25,train,47,modified,
10,condition1,robe_big.jpg,semantic_contrast,Click on the twoslot toaster,.loc1,.loc2,.loc3,.loc4,good,"['loc3', 'loc2', 'loc4']","[592, 1472, 1978]",eyeshadow_small.jpg,recyclingbox.jpg,toaster_fourslot.jpg,toaster_twoslot.jpg,161,filler41,filler,48,modified,
10,condition1,pancakes_big.jpg,contrast_control,Click on the tissues,.loc3,.loc4,.loc2,.loc1,good,"['loc4', 'loc1']","[597, 1510]",pancakes_small.jpg,tissues_big.jpg,bagpipes_big.jpg,tissues_small.jpg,200,filler80,filler,49,unmodified,
10,condition1,perfume_tall.jpg,semantic_control,Click on the spoon,.loc2,.loc1,.loc4,.loc3,good,"['loc1', 'loc3']","[691, 1813]",perfume_short.jpg,spoon_small.jpg,lemur_small.jpg,spoon_big.jpg,255,filler135,filler,50,unmodified,
10,condition1,hawk_big.jpg,contrast,Click on the big wallet,.loc1,.loc2,.loc3,.loc4,good,"['loc2', 'loc4', 'loc4']","[1454, 2071, 2537]",hay_small.jpg,gasmask_small.jpg,wallet_small.jpg,wallet_big.jpg,71,train31,train,51,modified,
10,condition1,hawaiianshirt_red.jpg,semantic_control,Click on the scrunchie,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2']","[654, 2101]",hawaiianshirt_blue.jpg,scrunchie_big.jpg,celery_big.jpg,scrunchie_small.jpg,260,filler140,filler,52,unmodified,
10,condition1,opener_metal.jpg,semantic_control,Click on the greenbean,.loc2,.loc1,.loc4,.loc3,good,"['loc2', 'loc3']","[546, 1782]",opener_wood.jpg,greenbean_small.jpg,pepperoni_small.jpg,greenbean_big.jpg,269,filler149,filler,53,unmodified,
10,condition1,eiffeltower_big.jpg,no_contrast,Click on the rooster,.loc3,.loc4,.loc1,.loc2,good,"['loc1', 'loc2']","[661, 1372]",glove_small.jpg,rooster_small.jpg,teabag_small.jpg,rooster_big.jpg,100,train60,train,54,unmodified,
10,condition1,slide_big.jpg,contrast,Click on the big seahorse,.loc1,.loc3,.loc2,.loc4,good,"['loc2', 'loc4', 'loc4']","[630, 2458, 2864]",pingpong_small.jpg,almond_small.jpg,seahorse_small.jpg,seahorse_big.jpg,77,train37,train,55,modified,
10,condition1,robot_blue.jpg,semantic_control,Click on the pants,.loc4,.loc3,.loc1,.loc2,good,"['loc4', 'loc2']","[575, 1198]",robot_purple.jpg,pants_small.jpg,parsley_small.jpg,pants_big.jpg,295,filler175,filler,56,unmodified,
10,condition1,mug_big.jpg,contrast,Click on the small flower,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3', 'loc3']","[686, 1642, 2928]",fireextinguisher_small.jpg,flower_big.jpg,flower_big.jpg,flower_small.jpg,13,test13,test,57,modified,
10,condition1,beaker_big.jpg,contrast_control,Click on the fridge,.loc3,.loc1,.loc4,.loc2,good,"['loc1', 'loc2']","[732, 2412]",beaker_small.jpg,fridge_big.jpg,groceries_big.jpg,fridge_small.jpg,214,filler94,filler,58,unmodified,
10,condition1,fortunecookie_big.jpg,semantic_contrast,Click on the green cabbage,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2', 'loc2']","[530, 1268, 1752]",muffinpan_small.jpg,milkjug.jpg,cabbage_red.jpg,cabbage_green.jpg,146,filler26,filler,59,modified,
10,condition1,pinecone_big.jpg,no_contrast,Click on the boots,.loc1,.loc4,.loc2,.loc3,good,"['loc2', 'loc3']","[583, 2179]",pancakes_small.jpg,boots_big.jpg,paperbag_big.jpg,boots_small.jpg,81,train41,train,60,unmodified,
10,condition1,washer_big.jpg,contrast_control,Click on the grill,.loc1,.loc3,.loc2,.loc4,good,"['loc2', 'loc4']","[894, 2054]",washer_small.jpg,grill_big.jpg,clog_big.jpg,grill_small.jpg,226,filler106,filler,61,unmodified,
10,condition1,molecule_big.jpg,contrast,Click on the big lock,.loc4,.loc1,.loc2,.loc3,good,"['loc1', 'loc3', 'loc3']","[995, 1978, 2397]",sneaker_small.jpg,lock_small.jpg,lock_small.jpg,lock_big.jpg,18,test18,test,62,modified,
10,condition1,beermug_big.jpg,contrast,Click on the big beetle,.loc2,.loc3,.loc1,.loc4,good,"['loc2', 'loc4', 'loc4']","[1098, 1634, 2024]",pinkdice_small.jpg,lei_small.jpg,beetle_small.jpg,beetle_big.jpg,47,train7,train,63,modified,
10,condition1,bananas_big.jpg,no_contrast,Click on the giraffe,.loc2,.loc3,.loc4,.loc1,good,"['loc4', 'loc1']","[515, 1766]",conch_small.jpg,giraffe_big.jpg,rope_big.jpg,giraffe_small.jpg,91,train51,train,64,unmodified,
10,condition1,accordion_big.jpg,contrast_control,Click on the lizard,.loc3,.loc2,.loc4,.loc1,good,"['loc1', 'loc1']","[522, 1415]",accordion_small.jpg,lizard_small.jpg,chowchow_small.jpg,lizard_big.jpg,225,filler105,filler,65,unmodified,
10,condition1,bloodymary_big.jpg,semantic_contrast,Click on the red toothbrush,.loc1,.loc3,.loc2,.loc4,good,"['loc1', 'loc4', 'loc4']","[506, 1518, 1862]",threeholepunch_small.jpg,baseballbat.jpg,toothbrush_purple.jpg,toothbrush_red.jpg,176,filler56,filler,66,modified,
10,condition1,notebook_open.jpg,semantic_control,Click on the burrito,.loc3,.loc1,.loc4,.loc2,good,"['loc4', 'loc2']","[1300, 2164]",notebook_closed.jpg,burrito_big.jpg,seesaw_big.jpg,burrito_small.jpg,276,filler156,filler,67,unmodified,
10,condition1,table_big.jpg,no_contrast,Click on the stool,.loc3,.loc2,.loc4,.loc1,good,"['loc2', 'loc1']","[515, 1719]",cushion_small.jpg,stool_big.jpg,jeep_big.jpg,stool_small.jpg,103,train63,train,68,unmodified,
10,condition1,panda_big.jpg,contrast,Click on the big paperbag,.loc1,.loc3,.loc2,.loc4,good,"['loc1', 'loc4', 'loc4']","[490, 1675, 2173]",gong_small.jpg,pencilsharpener_small.jpg,paperbag_small.jpg,paperbag_big.jpg,41,train1,train,69,modified,
10,condition1,postits_big.jpg,semantic_contrast,Click on the plastic fork,.loc1,.loc4,.loc2,.loc3,good,"['loc2', 'loc3', 'loc3']","[567, 2217, 2739]",rockclimbingshoe_small.jpg,salami.jpg,fork_silver.jpg,fork_plastic.jpg,165,filler45,filler,70,modified,
10,condition1,exerciseball_big.jpg,semantic_contrast,Click on the hawaiian shirt,.loc3,.loc4,.loc1,.loc2,good,"['loc3', 'loc2', 'loc2']","[460, 1090, 1502]",policecar_small.jpg,yellowrose.jpg,shirt_corvette.jpg,shirt_hawaiian.jpg,163,filler43,filler,71,modified,
10,condition1,toyfarm_big.jpg,contrast,Click on the big ribbon,.loc3,.loc2,.loc4,.loc1,good,"['loc2', 'loc1', 'loc1']","[529, 1098, 1488]",tissues_small.jpg,ribbon_small.jpg,ribbon_small.jpg,ribbon_big.jpg,20,test20,test,72,modified,
10,condition1,carkeys_big.jpg,semantic_contrast,Click on the coffee cup,.loc4,.loc3,.loc2,.loc1,good,"['loc1', 'loc1', 'loc1']","[441, 1633, 2023]",oven_small.jpg,icecubetray.jpg,cup_plastic.jpg,cup_coffee.jpg,149,filler29,filler,73,modified,
10,condition1,firealarm_big.jpg,contrast,Click on the big violin,.loc3,.loc2,.loc1,.loc4,good,"['loc1', 'loc4', 'loc4']","[436, 2070, 2474]",beaker_small.jpg,maracas_small.jpg,violin_small.jpg,violin_big.jpg,53,train13,train,74,modified,
10,condition1,seesaw_big.jpg,semantic_contrast,Click on the barn mailbox,.loc4,.loc3,.loc1,.loc2,good,"['loc2', 'loc2', 'loc2']","[654, 2920, 3512]",pitchfork_small.jpg,pinkshoes.jpg,mailbox_cow.jpg,mailbox_barn.jpg,157,filler37,filler,75,modified,
10,condition1,goose_big.jpg,no_contrast,Click on the paintbrush,.loc1,.loc4,.loc2,.loc3,good,"['loc1', 'loc3']","[4047, 5237]",parrot_small.jpg,paintbrush_small.jpg,boat_small.jpg,paintbrush_big.jpg,114,train74,train,76,unmodified,
10,condition1,windmill_big.jpg,contrast,Click on the small lobster,.loc3,.loc1,.loc2,.loc4,good,"['loc1', 'loc4', 'loc4']","[818, 2492, 2941]",cake_small.jpg,lobster_big.jpg,lobster_big.jpg,lobster_small.jpg,2,test2,test,77,modified,
10,condition1,creamer_big.jpg,no_contrast,Click on the glass,.loc1,.loc2,.loc3,.loc4,good,"['loc2', 'loc4']","[780, 1512]",wagon_small.jpg,glass_small.jpg,drum_small.jpg,glass_big.jpg,92,train52,train,78,unmodified,
10,condition1,window_big.jpg,no_contrast,Click on the saxophone,.loc3,.loc1,.loc4,.loc2,good,"['loc2', 'loc2']","[738, 1042]",pearls_small.jpg,saxophone_big.jpg,alarmclock_big.jpg,saxophone_small.jpg,101,train61,train,79,unmodified,
10,condition1,orangejuice_stemglass.jpg,semantic_control,Click on the blueberries,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2']","[670, 1572]",orangejuice_tallglass.jpg,blueberries_big.jpg,robe_big.jpg,blueberries_small.jpg,278,filler158,filler,80,unmodified,
10,condition1,beachtowels_big.jpg,semantic_contrast,Click on the dog robot,.loc2,.loc4,.loc1,.loc3,good,"['loc2', 'loc3', 'loc3']","[420, 2810, 3240]",boxcutter_small.jpg,flipflops.jpg,robot_person.jpg,robot_dog.jpg,135,filler15,filler,81,modified,
10,condition1,asparagus_big.jpg,no_contrast,Click on the triangle,.loc4,.loc1,.loc3,.loc2,good,"['loc2', 'loc2']","[1378, 2289]",leash_small.jpg,triangle_big.jpg,yarn_big.jpg,triangle_small.jpg,107,train67,train,82,unmodified,
10,condition1,gingerbreadcookie_big.jpg,semantic_contrast,Click on the mobile phone,.loc1,.loc4,.loc3,.loc2,good,"['loc2', 'loc2', 'loc2']","[543, 1423, 1805]",nailpolish_small.jpg,ship.jpg,phone_landline.jpg,phone_mobile.jpg,147,filler27,filler,83,modified,
10,condition1,dustpan_big.jpg,semantic_contrast,Click on the rainbow slinky,.loc1,.loc2,.loc4,.loc3,good,"['loc2', 'loc3', 'loc3']","[622, 2164, 2671]",measuringcups_small.jpg,golfiron.jpg,slinky_silver.jpg,slinky_rainbow.jpg,143,filler23,filler,84,modified,
10,condition1,bowtie_big.jpg,no_contrast,Click on the owl,.loc2,.loc4,.loc3,.loc1,good,"['loc2', 'loc1']","[699, 1937]",faucet_small.jpg,owl_big.jpg,house_big.jpg,owl_small.jpg,97,train57,train,85,unmodified,
10,condition1,tractor_big.jpg,no_contrast,Click on the big dress,.loc2,.loc1,.loc3,.loc4,good,"['loc1', 'loc2', 'loc4']","[474, 1206, 2218]",nest_small.jpg,backpack_small.jpg,backpack_small.jpg,dress_big.jpg,26,test26,test,86,modified,
10,condition1,legoman_cult.jpg,semantic_control,Click on the horse,.loc2,.loc3,.loc4,.loc1,good,"['loc4', 'loc1']","[452, 1650]",legoman_sailor.jpg,horse_big.jpg,bobcat_big.jpg,horse_small.jpg,250,filler130,filler,87,unmodified,
